fid,BAUMNUMMER,FID_ANLAGE,BAUMART_K,BAUMART_L,BAUMART_D,EIGENTUEMER,PFLEGEZUSTAENDIGKEIT,PFLEGESTUFE,BAUMSTATUS,PFLANZJAHR,FALLDATUM,SCHUTZART,KATEGORIE,BAUMHOEHE,MINDESTBAUMHOEHE,KRONE,KRONENDURCHMESSER,MINDESTDURCHMESSER,BAUMTYP,LAGEGENAUIGKEIT,FORMSCHNITT,$GEOMETRY1,Z,BREITENGRAD,LAENGENGRAD,DATE_CREATED,DATE_MODIFED,$SQLLABEL1,X,Y
760647,25236,Sportanlage Schützenwiese,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2000,,,Laubbaum,18,20,grosskronig,6,10,Strassenbaum,VA,NEIN,2696328.47 / 1261816.68,,47.50004268,8.71713094,"09.11.2016",18.06.2025,false,2696328.47,1261816.68
760650,25225,Sportanlage Schützenwiese,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1995,,,Laubbaum,16,20,grosskronig,5,10,Strassenbaum,VA,NEIN,2696312.75 / 1261820.04,,47.50007518,8.71692317,"09.11.2016",18.06.2025,false,2696312.75,1261820.04
760653,25220,Sportanlage Schützenwiese,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1985,,,Laubbaum,16,20,grosskronig,7,10,Strassenbaum,VA,NEIN,2696304.93 / 1261821.94,,47.50009346,8.71681974,"09.11.2016",18.06.2025,false,2696304.93,1261821.94
760656,25170,SH St. Georgen,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2014,,,Laubbaum,7,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697002.80 / 1262151.05,439.55,47.50295044,8.72615209,"09.11.2016","03.04.2025",false,2697002.8,1262151.05
760659,25358,Verkehrsgrün kommunal. Waser,tier,Tilia europaea ,Holländische Linde,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,1990,,,Laubbaum,6.5,25,grosskronig,6,12,Strassenbaum,VA,NEIN,2699918.70 / 1260369.85,463.65,47.48649607,8.76444859,"09.11.2016","03.12.2025",false,2699918.7,1260369.85
760665,25173,Rychenbergpark,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2014,,,Laubbaum,11,15,grosskronig,2,8,Parkbaum,VA,NEIN,2697631.00 / 1262379.60,448.35,47.50491274,8.73453879,"09.11.2016",15.08.2025,false,2697631,1262379.6
760675,24953,Mattenbach (Deutweg),saal,Salix alba ,Silberweide,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2001,,,Laubbaum,19,20,grosskronig,14,12,Strassenbaum,VA,NEIN,2697728.57 / 1261122.96,445.732,47.49359765,8.73555818,"09.11.2016","04.12.2025",false,2697728.57,1261122.96
760687,25145,Verkehrsgrün kommunal. Tössfeld,prsk,Prunus serrulata 'Kanzan',Japanische Zierkirsche Kanzan,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2015,,,Laubbaum,6,10,grosskronig,2,8,Strassenbaum,VA,NEIN,2696012.10 / 1261031.50,437.25,47.49302802,8.71276366,"09.11.2016","03.12.2025",false,2696012.1,1261031.5
760691,25118,Verkehrsgrün kommunal. Altstadt,gltr,Gleditsia triacanthos ,Amerikanische Gleditschie. Lederhülsenbaum,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2014,,,Laubbaum,7,20,grosskronig,8,12,Strassenbaum,VA,NEIN,2696910.90 / 1261653.10,439.7,47.49848607,8.72482425,"09.11.2016",23.09.2025,false,2696910.9,1261653.1
760694,25105,Verkehrsgrün kommunal. Heiligberg,gltr,Gleditsia triacanthos ,Amerikanische Gleditschie. Lederhülsenbaum,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2014,,,Laubbaum,10,20,grosskronig,9,12,Strassenbaum,VA,NEIN,2696852.59 / 1261552.45,440.56,47.49758955,8.72402864,"09.11.2016",23.09.2025,false,2696852.59,1261552.45
760701,25402,Verkehrsgrün überkommunal. Altstadt,plhi,Platanus x hispanica (x acerifolia),Ahornblättrige Platane,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2015,,,Laubbaum,8,25,grosskronig,5,12,Strassenbaum,VA,NEIN,2696815.18 / 1261673.35,438.72,47.49868228,8.72355845,"09.11.2016",23.09.2025,false,2696815.18,1261673.35
760705,26141,Wald und Landschaft,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,26,20,grosskronig,8,10,Strassenbaum,VA,NEIN,2695811.40 / 1259843.00,442.65,47.48236937,8.70984538,"09.11.2016","03.12.2025",false,2695811.4,1259843
760708,25707,Friedhof Töss,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2012,,,Laubbaum,8,15,grosskronig,3,8,Strassenbaum,VA,NEIN,2695051.30 / 1261272.97,,47.49533908,8.70006693,"09.11.2016","04.07.2025",false,2695051.3,1261272.97
760711,40748,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,10,12,Strassenbaum,StG,NEIN,2698302.14 / 1262392.96,,47.5049329,8.74344858,"09.11.2016","03.04.2025",false,2698302.14,1262392.96
760717,25747,Friedhof Wülflingen,prsh,Prunus subhirtella ,Japanische Zierkirsche. Higan-Kirsche,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2014,,,Laubbaum,4,8,grosskronig,3,5,Strassenbaum,VA,NEIN,2694407.05 / 1263250.12,,47.51321196,8.69193729,"09.11.2016",21.06.2025,false,2694407.05,1263250.12
760720,26155,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,18,20,grosskronig,8,12,Strassenbaum,VA,NEIN,2696959.60 / 1261112.85,484.2,47.49362057,8.72535298,"09.11.2016","03.04.2025",false,2696959.6,1261112.85
760723,26328,AZ Adlergarten,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,5,25,grosskronig,3.5,12,Parkbaum,VA,NEIN,2697866.61 / 1261420.32,445.32,47.49625121,8.73745501,"09.11.2016","03.12.2025",false,2697866.61,1261420.32
760727,26164,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1670,,,Laubbaum,,20,grosskronig,18,12,Strassenbaum,VA,NEIN,2697074.05 / 1263200.55,459.1,47.51237775,8.72732625,"09.11.2016","03.04.2025",false,2697074.05,1263200.55
760730,25414,Verkehrsgrün überkommunal. Altstadt,stja,Styphnolobium japonicum ,Japanischer Schnurbaum,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2016,,,Laubbaum,8,20,grosskronig,7,12,Strassenbaum,VA,NEIN,2696778.68 / 1261658.88,439.25,47.49855751,8.72307101,"09.11.2016",23.09.2025,false,2696778.68,1261658.88
760738,25400,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2016,,,Laubbaum,4.5,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699798.80 / 1261651.50,456.85,47.49803973,8.76314481,"09.11.2016","03.12.2025",false,2699798.8,1261651.5
760741,26143,Wald und Landschaft,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,26,20,grosskronig,12,10,Strassenbaum,VA,NEIN,2695806.85 / 1259834.75,442.55,47.48229584,8.70978325,"09.11.2016","03.12.2025",false,2695806.85,1259834.75
760744,26129,Wald und Landschaft,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,25,20,grosskronig,8,10,Strassenbaum,VA,NEIN,2695847.75 / 1259905.85,441.5,47.48292927,8.71034109,"09.11.2016","03.12.2025",false,2695847.75,1259905.85
760747,26126,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1880,,,Laubbaum,24,20,grosskronig,14,12,Strassenbaum,VA,NEIN,2695861.95 / 1259926.30,441.5,47.4831111,8.71053385,"09.11.2016","03.12.2025",false,2695861.95,1259926.3
760750,40734,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,15,12,Strassenbaum,StG,NEIN,2698157.83 / 1262502.79,,47.50594211,8.7415576,"09.11.2016","03.04.2025",false,2698157.83,1262502.79
760753,26154,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,18,20,grosskronig,15,12,Strassenbaum,VA,NEIN,2696955.80 / 1261117.30,484.2,47.49366114,8.72530353,"09.11.2016","03.04.2025",false,2696955.8,1261117.3
760756,40742,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,13,12,Strassenbaum,StG,NEIN,2698283.66 / 1262444.49,,47.50539907,8.74321469,"09.11.2016","03.04.2025",false,2698283.66,1262444.49
760759,25401,Verkehrsgrün überkommunal. Altstadt,plhi,Platanus x hispanica (x acerifolia),Ahornblättrige Platane,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2015,,,Laubbaum,8,25,grosskronig,5,12,Strassenbaum,VA,NEIN,2696821.45 / 1261674.15,438.56,47.49868852,8.72364184,"09.11.2016",23.09.2025,false,2696821.45,1261674.15
760763,26332,AZ Adlergarten,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,1996,,,Laubbaum,13,25,grosskronig,11,12,Parkbaum,VA,NEIN,2697872.25 / 1261447.07,445.37,47.4964909,8.73753573,"09.11.2016","03.12.2025",false,2697872.25,1261447.07
760767,25740,Friedhof Wülflingen,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2014,,,Laubbaum,6.5,4,grosskronig,5,3,Strassenbaum,VA,NEIN,2694359.07 / 1263263.53,,47.51333938,8.69130325,"09.11.2016",21.06.2025,false,2694359.07,1263263.53
760770,25720,Friedhof Oberwinterthur,list,Liquidambar styraciflua ,Amerikanischer Amberbaum,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2015,,,Laubbaum,8,10,grosskronig,4.5,12,Strassenbaum,VA,NEIN,2699167.17 / 1262546.49,,47.5061836,8.75496265,"09.11.2016",24.07.2025,false,2699167.17,1262546.49
760773,40737,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,12,12,Strassenbaum,StG,NEIN,2698186.12 / 1262482.55,,47.50575587,8.74192848,"09.11.2016","03.04.2025",false,2698186.12,1262482.55
760776,26148,Wald und Landschaft,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,24,25,grosskronig,12,12,Strassenbaum,VA,NEIN,2695865.80 / 1259917.00,441.8,47.48302691,8.71058293,"09.11.2016","03.12.2025",false,2695865.8,1259917
760779,25738,Friedhof Wülflingen,prsh,Prunus subhirtella ,Japanische Zierkirsche. Higan-Kirsche,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2014,,,Laubbaum,4,8,grosskronig,3,5,Strassenbaum,VA,NEIN,2694354.87 / 1263265.10,,47.5133541,8.69124794,"09.11.2016","03.04.2025",false,2694354.87,1263265.1
760782,40731,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,13,12,Strassenbaum,StG,NEIN,2698136.33 / 1262521.11,,47.50611006,8.74127626,"09.11.2016","03.04.2025",false,2698136.33,1262521.11
760785,40736,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,15,12,Strassenbaum,StG,NEIN,2698167.23 / 1262497.38,,47.50589202,8.7416811,"09.11.2016","03.04.2025",false,2698167.23,1262497.38
760788,25409,Verkehrsgrün überkommunal. Altstadt,plhi,Platanus x hispanica (x acerifolia),Ahornblättrige Platane,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2015,,,Laubbaum,8.5,25,grosskronig,5,12,Strassenbaum,VA,NEIN,2696769.25 / 1261667.26,439.77,47.49863428,8.72294768,"09.11.2016",23.09.2025,false,2696769.25,1261667.26
760792,25710,Friedhof Töss,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2012,,,Laubbaum,9,15,grosskronig,4,8,Strassenbaum,VA,NEIN,2695046.23 / 1261275.25,,47.49536029,8.70000019,"09.11.2016","04.07.2025",false,2695046.23,1261275.25
760795,26112,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,3,Aktiv,1910,,,Laubbaum,18,20,grosskronig,12,12,Waldbaum,VA,NEIN,2700088.75 / 1258980.94,500.3,47.47398017,8.76639291,"09.11.2016","03.12.2025",false,2700088.75,1258980.94
760798,40752,Wald und Landschaft,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1920,,,Laubbaum,,25,grosskronig,11,12,Strassenbaum,StG,NEIN,2698312.43 / 1262364.14,,47.50467221,8.74357874,"09.11.2016","03.04.2025",false,2698312.43,1262364.14
760801,25717,Friedhof Töss,acgr,Acer griseum ,Zimt-Ahorn,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2010,,,Laubbaum,5,8,grosskronig,4,5,Strassenbaum,VA,NEIN,2695013.26 / 1261168.84,,47.49440819,8.69954,"09.11.2016","04.07.2025",false,2695013.26,1261168.84
760804,26135,Wald und Landschaft,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,26,20,grosskronig,10,10,Strassenbaum,VA,NEIN,2695826.75 / 1259872.10,442.35,47.48262882,8.71005525,"09.11.2016","03.12.2025",false,2695826.75,1259872.1
760807,40747,Wald und Landschaft,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1890,,,Laubbaum,,20,grosskronig,8,12,Strassenbaum,StG,NEIN,2698299.07 / 1262398.67,,47.50498465,8.74340905,"09.11.2016","03.04.2025",false,2698299.07,1262398.67
760810,26320,AZ Adlergarten,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,2001,,,Laubbaum,12,25,grosskronig,8,12,Strassenbaum,VA,NEIN,2697865.41 / 1261482.42,445.13,47.49680978,8.73745263,"09.11.2016","03.12.2025",false,2697865.41,1261482.42
760814,25742,Friedhof Wülflingen,prsh,Prunus subhirtella ,Japanische Zierkirsche. Higan-Kirsche,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2014,,,Laubbaum,5,8,grosskronig,3,5,Strassenbaum,VA,NEIN,2694405.96 / 1263254.28,,47.5132495,8.6919237,"09.11.2016",21.06.2025,false,2694405.96,1263254.28
760817,26132,Wald und Landschaft,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,26,25,grosskronig,15,12,Strassenbaum,VA,NEIN,2695836.25 / 1259884.65,442.35,47.4827403,8.71018397,"09.11.2016","03.12.2025",false,2695836.25,1259884.65
760820,25726,Friedhof Oberwinterthur,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2014,,,Laubbaum,4,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2699222.76 / 1262566.51,,47.50635531,8.75570478,"09.11.2016","03.04.2025",false,2699222.76,1262566.51
760823,25703,Friedhof Töss,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2012,,,Laubbaum,11,15,grosskronig,3.5,8,Strassenbaum,VA,NEIN,2695043.11 / 1261268.47,,47.49529983,8.69995735,"09.11.2016",27.06.2025,false,2695043.11,1261268.47
760826,25748,Friedhof Wülflingen,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2014,,,Laubbaum,6.5,4,kleinkronig,4.5,3,Strassenbaum,VA,NEIN,2694408.90 / 1263250.10,,47.51321147,8.69196191,"09.11.2016",21.06.2025,false,2694408.9,1263250.1
760829,26137,Wald und Landschaft,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,25,20,grosskronig,10,10,Strassenbaum,VA,NEIN,2695822.60 / 1259864.30,442.35,47.48255928,8.70999853,"09.11.2016","03.12.2025",false,2695822.6,1259864.3
760832,25737,Friedhof Wülflingen,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2014,,,Laubbaum,6,4,kleinkronig,4,3,Strassenbaum,VA,NEIN,2694353.30 / 1263265.35,,47.51335659,8.69122709,"09.11.2016",21.06.2025,false,2694353.3,1263265.35
760835,26127,Wald und Landschaft,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1910,,,Laubbaum,26,25,grosskronig,14,12,Strassenbaum,VA,NEIN,2695855.60 / 1259918.55,441.4,47.48304233,8.71044795,"09.11.2016","03.12.2025",false,2695855.6,1259918.55
760838,22162,Verkehrsgrün überkommunal. Waser,acps,Acer pseudoplatanus ,Bergahorn,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,1998,,,Laubbaum,5,20,grosskronig,3,10,Strassenbaum,VA,NEIN,2699537.46 / 1260990.76,452.903,47.49213748,8.75952951,"09.11.2016","03.12.2025",false,2699537.46,1260990.76
760842,22172,Verkehrsgrün kommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1998,,,Laubbaum,11,25,grosskronig,4,12,Strassenbaum,VA,NEIN,2699346.01 / 1260053.83,457.308,47.48374094,8.75678065,"09.11.2016","03.12.2025",false,2699346.01,1260053.83
760846,22234,Verkehrsgrün kommunal. Altstadt,fror,Fraxinus ornus ,Manna-. Blumenesche,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,1996,,,Laubbaum,6,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697497.15 / 1261839.90,448.25,47.50007925,8.73264439,"09.11.2016","03.04.2025",false,2697497.15,1261839.9
760850,22244,Verkehrsgrün überkommunal. Lind,aehi,Aesculus hippocastanum ,Gewöhnliche Rosskastanie,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1910,,Schutzverfügung,Laubbaum,22,20,grosskronig,21,12,Strassenbaum,VA,NEIN,2697261.62 / 1262319.67,442.231,47.50442851,8.72962357,"09.11.2016","03.04.2025",false,2697261.62,1262319.67
760854,22257,Rosental Alterszentrum,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1982,,,Laubbaum,6,4,grosskronig,5,3,Parkbaum,VA,NEIN,2696747.21 / 1262983.59,445.021,47.51047486,8.72294102,"09.11.2016","03.04.2025",false,2696747.21,1262983.59
760858,22174,Verkehrsgrün kommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1998,,,Laubbaum,11,25,grosskronig,4,12,Strassenbaum,VA,NEIN,2699353.19 / 1260033.01,458.281,47.48355262,8.75687117,"09.11.2016","03.12.2025",false,2699353.19,1260033.01
760862,22180,Verkehrsgrün kommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1998,,,Laubbaum,8,25,grosskronig,4,12,Strassenbaum,VA,NEIN,2699376.51 / 1259963.72,462.311,47.48292598,8.75716514,"09.11.2016","03.12.2025",false,2699376.51,1259963.72
760866,22182,Verkehrsgrün kommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1998,,,Laubbaum,8,25,grosskronig,3,12,Strassenbaum,VA,NEIN,2699379.36 / 1259947.45,462.951,47.48277925,8.75719924,"09.11.2016","03.12.2025",false,2699379.36,1259947.45
760870,22236,Verkehrsgrün kommunal. Altstadt,fror,Fraxinus ornus ,Manna-. Blumenesche,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,1996,,,Laubbaum,5,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697513.34 / 1261844.07,444.623,47.50011436,8.73286014,"09.11.2016","03.04.2025",false,2697513.34,1261844.07
760878,22288,Rosental Alterszentrum,pape,Parrotia persica ,Eisenholzbaum. Parrotie,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1982,,,Laubbaum,8,4,grosskronig,7,8,Strassenbaum,VA,NEIN,2696693.37 / 1262998.44,446.207,47.51061634,8.72222957,"09.11.2016","03.04.2025",false,2696693.37,1262998.44
760882,22260,Rosental Alterszentrum,quru,Quercus rubra ,Amerikanische Roteiche,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1982,,,Laubbaum,14,20,grosskronig,12,12,Strassenbaum,VA,NEIN,2696769.34 / 1262994.01,444.96,47.51056531,8.72323696,"09.11.2016","03.04.2025",false,2696769.34,1262994.01
760886,22285,Rosental Alterszentrum,maxs,Malus Hybride ,Zierapfel,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1982,,,Laubbaum,5,8,grosskronig,7,8,Strassenbaum,VA,NEIN,2696747.55 / 1263030.25,448.618,47.51089439,8.72295556,"09.11.2016","03.04.2025",false,2696747.55,1263030.25
760890,22176,Verkehrsgrün kommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1998,,,Laubbaum,10,25,grosskronig,3,12,Strassenbaum,VA,NEIN,2699361.27 / 1260009.39,459.641,47.48333899,8.75697312,"09.11.2016","03.12.2025",false,2699361.27,1260009.39
760894,22238,Verkehrsgrün kommunal. Altstadt,fror,Fraxinus ornus ,Manna-. Blumenesche,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,1996,,,Laubbaum,6,15,grosskronig,7,8,Strassenbaum,VA,NEIN,2697535.52 / 1261837.88,444.887,47.50005543,8.73315314,"09.11.2016","03.04.2025",false,2697535.52,1261837.88
760898,22189,Verkehrsgrün kommunal. Ganzenbühl,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,1997,,,Laubbaum,16,25,grosskronig,9,12,Strassenbaum,VA,NEIN,2699608.74 / 1259915.05,463.907,47.48245319,8.76023498,"09.11.2016","03.12.2025",false,2699608.74,1259915.05
760902,22270,Rosental Alterszentrum,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege WEST,2,Aktiv,1982,,,Laubbaum,16,25,grosskronig,10,12,Strassenbaum,VA,NEIN,2696822.11 / 1263031.69,446.78,47.51089638,8.72394559,"09.11.2016","03.04.2025",false,2696822.11,1263031.69
760906,22251,Verkehrsgrün kommunal. Altstadt,aehi,Aesculus hippocastanum ,Gewöhnliche Rosskastanie,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1960,,Schutzverfügung,Laubbaum,8,20,grosskronig,15,12,Strassenbaum,VA,NEIN,2697071.36 / 1261904.72,440.391,47.50072514,8.72700822,"09.11.2016","03.04.2025",false,2697071.36,1261904.72
760910,22214,Verkehrsgrün kommunal. Lind,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,1988,,,Laubbaum,10,20,grosskronig,7,10,Strassenbaum,VA,NEIN,2697004.33 / 1262670.22,439.465,47.50761899,8.72628538,"09.11.2016","03.04.2025",false,2697004.33,1262670.22
760918,22161,Verkehrsgrün überkommunal. Waser,acps,Acer pseudoplatanus ,Bergahorn,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,1998,,,Laubbaum,5,20,grosskronig,3,10,Strassenbaum,VA,NEIN,2699541.00 / 1260996.42,452.973,47.49218785,8.75957769,"09.11.2016","03.12.2025",false,2699541,1260996.42
760922,22220,Königshof Alterstreff,crlv,Crataegus x lavallei,Lederblättriger Weissdorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,1982,,,Laubbaum,11,5,grosskronig,9,5,Parkbaum,VA,NEIN,2697058.37 / 1261623.14,441.591,47.49819485,8.72677458,"09.11.2016","03.04.2025",false,2697058.37,1261623.14
760926,22233,Verkehrsgrün kommunal. Altstadt,fror,Fraxinus ornus ,Manna-. Blumenesche,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,1996,,,Laubbaum,5,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697422.28 / 1261832.00,444.017,47.50001926,8.73164914,"09.11.2016","03.04.2025",false,2697422.28,1261832
760930,22245,Verkehrsgrün überkommunal. Altstadt,plhi,Platanus x hispanica (x acerifolia),Ahornblättrige Platane,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1900,,,Laubbaum,27,25,grosskronig,19,12,Strassenbaum,VA,NEIN,2697517.06 / 1261652.50,444.351,47.49839105,8.73286761,"09.11.2016","03.04.2025",false,2697517.06,1261652.5
760934,22016,Verkehrsgrün kommunal. Lind,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1930,,,Laubbaum,18,25,grosskronig,14,12,Strassenbaum,VA,NEIN,2697319.41 / 1262571.35,446.008,47.50668328,8.7304455,"09.11.2016","03.04.2025",false,2697319.41,1262571.35
760938,22034,Verkehrsgrün überkommunal. Lind,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege MITTE-OST,3,Aktiv,1930,,Schutzverfügung,Laubbaum,22,15,grosskronig,12,8,Strassenbaum,VA,NEIN,2697305.84 / 1262199.15,442.174,47.50333819,8.73018413,"09.11.2016","03.04.2025",false,2697305.84,1262199.15
760942,21953,Hegi Eulach Flussstreifen,algl,Alnus glutinosa ,Rot-Erle. Schwarz-Erle,Stadt Winterthur,Baumpflege OST-SÜD,3,Aktiv,1960,,,Laubbaum,12,15,grosskronig,10,8,Strassenbaum,VA,NEIN,2700685.41 / 1262472.98,463.732,47.50529179,8.77509508,"09.11.2016","03.12.2025",false,2700685.41,1262472.98
760946,22095,Verkehrsgrün überkommunal. Grüze,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,1999,,,Laubbaum,5,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699772.92 / 1261797.76,455.652,47.4993589,8.76283416,"09.11.2016","03.12.2025",false,2699772.92,1261797.76
